lhb,cluster,practice,practice_code,Asthma ,Atrial fibrillation ,Cancer ,Chronic obstructive pulmonary disease ,Secondary prevention of coronary heart disease ,Dementia ,Diabetes mellitus (patients aged 17+) ,Epilepsy (patients aged 18+) ,Heart failure ,Hypertension ,Learning disability ,Mental health ,Obesity (patients aged 16+) ,Osteoporosis (patients aged 50+) ,Palliative care ,Rheumatoid Arthritis (patients aged 16+) ,Stroke and transient ischaemic attack 
wales,wales,wales,,7.156179,2.560032,3.553405,2.279583,3.42932,0.738271,8.16492,0.949987,1.279639,15.952136,0.50279,1.049433,13.456213,0.555269,0.298594,0.914409,2.183136
Betsi Cadwaladr University Health Board ,Betsi Cadwaladr University Health Board ,Betsi Cadwaladr University Health Board ,,7.498631,2.663365,4.154861,2.580782,3.631141,0.806503,8.042646,0.922734,1.251394,17.317922,0.53943,1.062871,13.70851,0.620676,0.294462,0.918923,2.225843
Betsi Cadwaladr University Health Board ,Anglesey ,,,8.533036,2.877524,4.617914,3.0027,3.768833,0.791772,9.00699,0.92376,1.235164,18.130816,0.564043,1.027041,14.744186,1.091133,0.239794,0.983903,2.666385
Betsi Cadwaladr University Health Board ,Anglesey ,Amlwch Health Centre ,W94002 ,9.325965,2.792855,4.559361,3.533011,4.164611,0.6316,10.115072,0.795812,1.144774,17.793348,0.55265,0.819106,21.915504,0.740329,0.098687,1.124764,3.019836
Betsi Cadwaladr University Health Board ,Anglesey ,Parc Glas Surgery ,W94006 ,11.150114,3.221144,4.934958,2.911419,3.758001,0.743341,9.091593,1.003857,2.188726,19.822424,0.722693,1.280198,10.44425,0.444086,0.289077,1.149601,2.5191
Betsi Cadwaladr University Health Board ,Anglesey ,Beaumaris Health Centre ,W94009 ,9.728309,3.724803,6.441718,2.979842,3.98773,0.942156,8.341625,1.034415,1.79667,23.028046,0.328659,1.577564,15.45446,1.189591,0.35057,1.087994,2.848379
Betsi Cadwaladr University Health Board ,Anglesey ,Llanfairpwll Health Centre ,W94015 ,9.60156,3.180212,5.544048,3.314244,4.80078,1.669307,8.725215,0.929425,1.486536,21.237968,0.475204,0.828561,16.41422,3.15111,0.41428,0.96385,3.033995
Betsi Cadwaladr University Health Board ,Anglesey ,Gerafon Surgery ,W94023 ,7.42193,3.977034,5.643467,3.248845,4.257107,0.896233,9.844312,0.8614,1.596415,21.84568,0.588153,1.23232,10.90249,0.985595,0.280073,1.03679,3.164823
Betsi Cadwaladr University Health Board ,Anglesey ,Cybi Health Hub ,W94026 ,7.267,2.574408,3.986531,3.378232,3.454269,0.543124,8.398551,1.204085,0.955898,17.151857,0.716924,0.966761,11.854872,0.670141,0.228112,1.008647,2.465783
Betsi Cadwaladr University Health Board ,Anglesey ,Coed Y Glyn Surgery ,W94029 ,8.2107,2.296795,3.232018,1.911704,2.984459,0.467611,7.789996,0.781742,0.893962,13.106863,0.67391,1.182781,12.878413,0.849324,0.165039,0.928326,2.131756
Betsi Cadwaladr University Health Board ,Anglesey ,Victoria Surgery ,W94038 ,7.524682,2.428178,3.904652,2.864004,3.121943,0.693765,9.128175,0.957715,0.853865,14.533488,0.444721,0.942809,12.178155,0.825253,0.257938,0.77547,2.401494
Betsi Cadwaladr University Health Board ,Anglesey ,Gwalchmai Surgery ,W94043 ,8.326068,2.179599,4.882302,2.310375,3.574542,0.479512,9.406243,0.802534,0.87184,21.36007,0.65388,0.479512,25.424596,0.186916,0.087184,0.678685,2.048823
Betsi Cadwaladr University Health Board ,Anglesey ,Star Surgery ,W94633 ,7.686833,1.921708,3.985765,1.921708,3.345196,0.569395,8.609402,0.344761,0.711744,17.72242,0.498221,1.13879,15.683623,0.720461,0.071174,1.096167,2.562278
Betsi Cadwaladr University Health Board ,Arfon ,,,6.672534,1.858453,3.53502,2.415842,2.511184,0.582325,6.378463,0.918972,0.756876,13.595893,0.595526,0.982765,10.358432,0.570372,0.252292,0.675512,1.635497
