cluster,ltc,patients,no_depriv,perc_depriv,prevalence,model_prev,model_pts,missing_pts,projected_prev
BayHealth ,CHD,5254,519,9.878188,1.288611,1.8952859543133698,99.57832403962445,31.874702099624457,2.0469088306584395
BayHealth ,COPD,5254,519,9.878188,0.682206,0.8692596342207632,45.670901181958904,9.827797941958906,0.9735707903272549
BayHealth ,Hypertension,5254,519,9.878188,7.06841,9.133509729434799,479.87460118450434,108.50033978450432,9.772855410495236
BayHealth ,Stroke,5254,519,9.878188,1.307561,1.5239562326631515,80.06866046412198,11.369405524121973,1.6458727312762038
BayHealth ,T2DM,5254,519,9.878188,3.046724,3.983069671738644,209.27048055314836,49.19560159314835,4.859344999521145
BayHealth ,af,5254,519,9.878188,1.17491,1.409892,74.07572567999999,12.34595428,1.7764639199999999
BayHealth ,asthma,5254,519,9.878188,5.514497,6.6173964000000005,347.678006856,57.946334476000004,7.146788112000001
BayHealth ,heart failure,5254,519,9.878188,0.416904,0.65037024,34.1704524096,12.266316249600003,0.9495405504
Cardiff East ,CHD,17321,7082.5,40.996005,2.8045394999999997,4.161686216414385,731.4651911601111,238.53446193011104,4.494621113727536
Cardiff East ,COPD,17321,7082.5,40.996005,2.4635365,3.0926949208632086,528.52510175084694,107.51982556084698,3.4638183113667935
Cardiff East ,Hypertension,17321,7082.5,40.996005,13.814356,18.03009845863136,3448.874858871808,806.4053676918079,19.292205350735557
Cardiff East ,Stroke,17321,7082.5,40.996005,1.6159955,1.8905540607933005,326.59580209703597,47.430367237035995,2.0417983856567647
Cardiff East ,T2DM,17321,7082.5,40.996005,7.7738375,9.964609947780474,1710.7715853851792,376.122223885179,12.156824136292176
Cardiff East ,af,17321,7082.5,40.996005,1.7540594999999999,2.1048714,361.98787946399995,60.331313243999944,2.6521379639999996
Cardiff East ,asthma,17321,7082.5,40.996005,6.971867,8.366240399999999,1448.005188444,241.33419807400003,9.035539631999999
Cardiff East ,ckd,17321,7082.5,40.996005,1.71,2.5308,447.94301600000006,145.278816,2.5308
Cardiff East ,heart failure,17321,7082.5,40.996005,1.2053235,1.8803046600000002,332.62903126440006,119.40529327440002,2.7452448036
Cardiff North ,CHD,10377.5,101,1.0629795,2.7702525,3.9794733039505257,348.12073785643577,105.8833823186935,4.297831168266568
Cardiff North ,COPD,10377.5,101,1.0629795,1.2021925,1.5051646189466874,143.23229454969214,28.830993789692144,1.6857843732202902
Cardiff North ,Hypertension,10377.5,101,1.0629795,13.5139635,17.414531111846493,1727.2119031821985,383.15523426719847,18.63354828967575
Cardiff North ,Stroke,10377.5,101,1.0629795,1.9577339999999999,2.2832705219174927,192.2717610321387,27.4130812571387,2.4659321636708924
Cardiff North ,T2DM,10377.5,101,1.0629795,6.350016500000001,7.39905595099814,720.2788554227757,105.81755085833083,9.026848260217731
Cardiff North ,af,10377.5,101,1.0629795,2.30247,2.762964,233.17512674399998,38.86252112399998,3.48133464
Cardiff North ,asthma,10377.5,101,1.0629795,6.8944615,8.273353799999999,851.16867498,141.86144583000004,8.935222104000001
Cardiff North ,ckd,10377.5,101,1.0629795,1.755,2.5974,247.63996400000002,80.31566400000003,2.5974
Cardiff North ,heart failure,10377.5,101,1.0629795,1.327847,2.07144132,181.5894962934,65.18597302839999,3.0243043272
Cardiff South East ,CHD,7124,2871.5,36.8320795,1.663481,2.459028373978179,210.0045258099073,68.48352754490732,2.6557506438964333
Cardiff South East ,COPD,7124,2871.5,36.8320795,1.214048,1.5359920873763522,168.89399435509708,35.34878975009708,1.7203111378615148
Cardiff South East ,Hypertension,7124,2871.5,36.8320795,7.6661485,9.958163675415928,948.8294528213028,218.7364382783557,10.655235132695044
Cardiff South East ,Stroke,7124,2871.5,36.8320795,1.096095,1.279848011482484,106.10752650206477,15.409625342064771,1.3822358524010827
Cardiff South East ,T2DM,7124,2871.5,36.8320795,5.5096055,7.131803609477929,604.4410766820829,132.88958263708292,8.700800403563074
Cardiff South East ,af,7124,2871.5,36.8320795,1.061989,1.2743868,107.656147428,17.942691237999995,1.6057273680000002
Cardiff South East ,asthma,7124,2871.5,36.8320795,4.96621,5.959452,436.704009618,72.78400160300001,6.43620816
Cardiff South East ,ckd,7485,3940,49.520323,0.86,1.2728000000000002,108.98165,35.34540000000002,1.2728000000000002
Cardiff South East ,heart failure,7124,2871.5,36.8320795,0.630634,0.98378904,83.1803961378,29.85962938280001,1.4363319984
Cardiff South West ,CHD,8423,2602,46.817274,2.560192,3.7990963428307483,199.76761732493864,63.94497349493864,4.103024050257209
Cardiff South West ,COPD,8423,2602,46.817274,2.074204,2.6039314520544554,152.70325627219665,32.859801512196654,2.9164032263009902
Cardiff South West ,Hypertension,8423,2602,46.817274,13.170004,17.189108838701483,1093.031206303982,247.135932983982,18.392346457410586
Cardiff South West ,Stroke,8423,2602,46.817274,1.699532,1.9882834599775556,109.41363268892528,15.536265408925274,2.1473461367757603
Cardiff South West ,T2DM,8423,2602,46.817274,7.922596,10.155290603108927,569.8795070081725,125.29103788817247,12.389454535792892
Cardiff South West ,af,8423,2602,46.817274,1.811277,2.1735324,111.45448368000001,18.57574728,2.738650824
Cardiff South West ,asthma,8423,2602,46.817274,6.77768,8.1332159999999991,769.395161496,128.23252691599998,8.78387328
Cardiff South West ,ckd,7127,3326,51.4285735,1.1749999999999998,1.7389999999999999,122.59987000000001,39.76212000000002,1.7389999999999999
Cardiff South West ,heart failure,8423,2602,46.817274,0.838207,1.3076029200000001,81.01419293759999,29.08201797759999,1.9091002632
Cardiff West ,CHD,9161.5,636.5,9.36632,2.8923265000000002,4.204785657636074,421.39348243154353,131.10114427154352,4.54116851024696
Cardiff West ,COPD,9161.5,636.5,9.36632,1.7891145,2.2400005362240183,176.10055427319963,36.36369758065521,2.5088006005709005
Cardiff West ,Hypertension,9161.5,636.5,9.36632,14.277940000000001,18.490462344623886,1690.3066623724749,386.8667526450514,19.78479470874756
Cardiff West ,Stroke,9161.5,636.5,9.36632,2.0510865000000003,2.3905317269375956,242.69265019796143,34.08187245296142,2.581774265092603
Cardiff West ,T2DM,9161.5,636.5,9.36632,6.657401999999999,8.19379545587993,665.685466435701,129.7517644933713,9.996430456173515
Cardiff West ,af,9161.5,636.5,9.36632,2.4513505,2.9416206000000003,297.474814188,49.57913569799999,3.706441956
Cardiff West ,asthma,9161.5,636.5,9.36632,7.262491499999999,8.7149898,793.1221559640001,132.187025994,9.412188984
Cardiff West ,ckd,9161.5,636.5,9.36632,1.5899999999999999,2.3532,204.51365199999998,66.32875199999998,2.3532
Cardiff West ,heart failure,9161.5,636.5,9.36632,1.2187215,1.9012055400000003,175.188640809,62.888230034,2.7757600884
Central Vale ,CHD,10324.5,2742.5,27.3141265,3.1237535000000003,4.601034758006321,455.64587874287525,146.72212841287526,4.9691175386468265
Central Vale ,COPD,10324.5,2742.5,27.3141265,2.398929,2.9900698986980974,313.01351481105326,62.628203041053254,3.3488782865418694
Central Vale ,Hypertension,10324.5,2742.5,27.3141265,15.4047375,19.95783285266203,2019.8758368380836,458.2770430180839,21.35488115234837
Central Vale ,Stroke,10324.5,2742.5,27.3141265,1.8482370000000001,2.1356200370133056,215.51273987513653,29.047978983238934,2.3064696399743703
Central Vale ,T2DM,10324.5,2742.5,27.3141265,7.9535725,9.980307187323286,1103.9949478229894,214.9627754379373,12.175974768534408
Central Vale ,af,10324.5,2742.5,27.3141265,2.195191,2.6342291999999996,250.942551714,41.823758618999975,3.3191287919999994
Central Vale ,asthma,10324.5,2742.5,27.3141265,6.9570050000000005,8.348405999999999,747.38404323,124.564007205,9.01627848
Central Vale ,ckd,8085,2258,25.451357,2.13,3.1523999999999996,254.87153999999998,82.66103999999999,3.1523999999999996
Central Vale ,heart failure,10324.5,2742.5,27.3141265,1.285633,2.00558748,211.01543797620002,75.7491315812,2.9281577208
City & Cardiff South ,CHD,7143.5,3404.5,53.6363275,1.9046385,2.826313479522099,169.43594413940804,55.25390989940802,3.0524185578838674
